n_topics,coherence,perplexity
5,0.5622214708529414,1418.2811947921234
10,0.6625217417841456,1196.1179701478484
15,0.6349135038295758,1244.942841510383
20,0.5688662212105879,1233.8277528086837
25,0.6015943989560332,1194.2580159486884
30,0.6190863297347158,1277.1932348867197
